PROVINCE,DISTRICT,TEHSIL,AREA,TOTAL_MALE,TOTAL_FEMALE,TOTAL_MALE_12_17,TOTAL_FEMALE_12_17,FULL_VAC_MALE,FULL_VAC_MALE_YD,FULL_VAC_FEMALE,FULL_VAC_FEMALE_YD,PART_VAC_MALE,PART_VAC_MALE_YD,PART_VAC_FEMALE,PART_VAC_FEMALE_YD,lat,long
Sindh,BADIN,BADIN,Abri Block,379,296,125,90,5,,,,18,,,,24.6459,68.8467
Sindh,BADIN,BADIN,Amin Nariro,93,84,17,18,,,,,1,,,,24.6459,68.8467
Sindh,BADIN,BADIN,Andalu,234,193,88,79,3,,1,,9,,14,,24.6459,68.8467
Sindh,BADIN,BADIN,Angri,64,33,10,4,,,,,,,,,24.6459,68.8467
Sindh,BADIN,BADIN,Odha,43,47,16,15,,,,,3,,2,,24.6459,68.8467
Sindh,BADIN,BADIN,Achh,54,62,17,16,,,,,2,,1,,24.6459,68.8467
Sindh,BADIN,BADIN,Achro,12,14,3,4,,,,,,,,,24.6459,68.8467
Sindh,BADIN,BADIN,Akro,52,55,16,14,1,,,,1,,,,24.6459,68.8467
Sindh,BADIN,BADIN,Bandhu,97,80,32,10,,,,,3,,,,24.6459,68.8467
Sindh,BADIN,BADIN,Bagdhaji,48,47,18,11,,,,,,,,,24.6459,68.8467
Sindh,BADIN,BADIN,Baksha,90,68,26,14,,,,,1,,1,,24.6459,68.8467
Sindh,BADIN,BADIN,Badin Municipal Committee,"6,353","6,130","2,090","2,017",53,2,34,4,218,13,185,3,24.6459,68.8467
Sindh,BADIN,BADIN,Bodandi,103,92,19,25,1,,,,1,,,,24.6459,68.8467
Sindh,BADIN,BADIN,Bokhi,113,75,23,14,,,,,2,,,,24.6459,68.8467
Sindh,BADIN,BADIN,Boharki,164,135,56,34,,,,,2,,,,24.6459,68.8467
Sindh,BADIN,BADIN,Bakho Khadi,144,113,42,25,2,,,,5,,2,,24.6459,68.8467
Sindh,BADIN,BADIN,Baghad,44,49,11,14,1,,,,1,,2,,24.6459,68.8467
Sindh,BADIN,BADIN,Bhanu,39,25,20,11,,,,,1,,,,24.6459,68.8467
Sindh,BADIN,BADIN,Bhanhari,80,56,26,17,1,,,,1,,1,,24.6459,68.8467
Sindh,BADIN,BADIN,Bhambhaki,69,52,20,20,,,,,2,,,,24.6459,68.8467
Sindh,BADIN,BADIN,Bhadmi,105,89,40,21,2,,,,6,,1,,24.6459,68.8467
Sindh,BADIN,BADIN,Bijoriro,44,38,13,15,,,,,,,,,24.6459,68.8467
Sindh,BADIN,BADIN,Bedhidi,31,33,9,9,1,,,,1,,3,,24.6459,68.8467
Sindh,BADIN,BADIN,Tali,85,59,20,12,,,,,3,,,,24.6459,68.8467
Sindh,BADIN,BADIN,Janath,12,7,1,,,,,,,,,,24.6459,68.8467
Sindh,BADIN,BADIN,Jinki,84,62,27,16,,,,,1,,1,,24.6459,68.8467
Sindh,BADIN,BADIN,Jakhari,61,56,17,17,1,,,,2,,,,24.6459,68.8467
Sindh,BADIN,BADIN,Jhalar,88,57,17,14,,,,,2,,,2,24.6459,68.8467
Sindh,BADIN,BADIN,Jhanjhali,82,64,26,16,1,,,,4,,2,,24.6459,68.8467
Sindh,BADIN,BADIN,Jhul Khasi,292,260,71,58,,,,,1,,,,24.6459,68.8467
Sindh,BADIN,BADIN,Jharkandi,315,240,113,74,1,,,,6,,2,,24.6459,68.8467
Sindh,BADIN,BADIN,Jhakrelu,58,53,17,12,1,,,,1,,,,24.6459,68.8467
Sindh,BADIN,BADIN,Jhagdi,187,164,54,49,2,,,,4,,2,,24.6459,68.8467
Sindh,BADIN,BADIN,Khalsu,148,125,40,34,,,,,2,,2,,24.6459,68.8467
Sindh,BADIN,BADIN,Khalifa,60,44,17,11,,,1,,2,,1,,24.6459,68.8467
Sindh,BADIN,BADIN,Daliji,106,91,39,19,1,,,,1,,,,24.6459,68.8467
Sindh,BADIN,BADIN,Dasti,268,228,54,34,1,,,,2,,,,24.6459,68.8467
Sindh,BADIN,BADIN,Donghandi,58,39,24,19,2,,2,,3,,4,,24.6459,68.8467
Sindh,BADIN,BADIN,Daphri,12,8,2,,,,,,,,,,24.6459,68.8467
Sindh,BADIN,BADIN,Roong Hadi,75,68,16,14,,,,,,,,,24.6459,68.8467
Sindh,BADIN,BADIN,Rate,57,38,20,11,,,,,,,,,24.6459,68.8467
Sindh,BADIN,BADIN,Saroro,147,148,41,44,,,,,2,,,,24.6459,68.8467
Sindh,BADIN,BADIN,Sando,56,57,19,21,1,,,,2,,,,24.6459,68.8467
Sindh,BADIN,BADIN,Satyari,156,151,29,33,,,,,4,,,,24.6459,68.8467
Sindh,BADIN,BADIN,Sanjara,47,34,15,13,,,,,,,1,,24.6459,68.8467
Sindh,BADIN,BADIN,Sanghar Deh,97,88,27,23,,,,,1,,1,,24.6459,68.8467
Sindh,BADIN,BADIN,Surhadi,24,22,5,5,,,,,1,,1,,24.6459,68.8467
Sindh,BADIN,BADIN,Sehta,74,77,20,9,,,,,,,,,24.6459,68.8467
Sindh,BADIN,BADIN,Siyarsi,121,104,31,25,,,,,,,,,24.6459,68.8467
Sindh,BADIN,BADIN,??????,229,194,74,43,,,1,,3,,4,,24.6459,68.8467
Sindh,BADIN,BADIN,???????,2,1,,,,,,,,,,,24.6459,68.8467
Sindh,BADIN,BADIN,??????,103,101,41,34,,,,,5,,6,,24.6459,68.8467
Sindh,BADIN,BADIN,???????,136,124,38,28,1,,,,2,,2,,24.6459,68.8467
Sindh,BADIN,BADIN,??? ???,89,99,28,17,1,,,,1,,,,24.6459,68.8467
Sindh,BADIN,BADIN,???? ???,183,137,49,33,4,,,,6,,5,,24.6459,68.8467
Sindh,BADIN,BADIN,???? ?????,41,26,14,11,,,,,1,,,,24.6459,68.8467
Sindh,BADIN,BADIN,???,24,21,4,6,,,,,,,,,24.6459,68.8467
Sindh,BADIN,BADIN,??????,83,76,37,30,5,,2,,10,3,9,,24.6459,68.8467
Sindh,BADIN,BADIN,????,45,57,15,12,,,,,,,,,24.6459,68.8467
Sindh,BADIN,BADIN,????? ???? ???? 1/4,161,149,61,62,2,,4,,5,,9,,24.6459,68.8467
Sindh,BADIN,BADIN,????? ???? ???? 1/5,193,217,71,89,1,,6,,7,,10,1,24.6459,68.8467
Sindh,BADIN,BADIN,????? ???? ???? 1/6,118,135,41,48,1,,1,,6,,2,,24.6459,68.8467
Sindh,BADIN,BADIN,????? ???? ???? 1/7,254,224,86,68,3,,4,,8,,7,,24.6459,68.8467
Sindh,BADIN,BADIN,??? ????,92,78,37,33,3,,,,6,,1,,24.6459,68.8467
Sindh,BADIN,BADIN,????,63,47,23,12,2,,,,6,,1,,24.6459,68.8467
Sindh,BADIN,BADIN,????? ????,48,33,16,7,,,,,,,,,24.6459,68.8467
Sindh,BADIN,BADIN,??????,83,66,24,15,1,,,,5,,,,24.6459,68.8467
Sindh,BADIN,BADIN,????,41,49,10,11,,,,,,,,1,24.6459,68.8467
Sindh,BADIN,BADIN,???????,82,69,25,21,2,,,,5,,,,24.6459,68.8467
Sindh,BADIN,BADIN,????? ???,184,164,55,45,1,,1,,4,,4,,24.6459,68.8467
Sindh,BADIN,BADIN,??????,201,136,70,32,1,1,,,8,,,,24.6459,68.8467
Sindh,BADIN,BADIN,????,26,18,10,3,,,,,,,,,24.6459,68.8467
Sindh,BADIN,BADIN,???,16,13,6,3,,,,,,,,,24.6459,68.8467
Sindh,BADIN,BADIN,????,54,49,18,18,,,,,,,1,,24.6459,68.8467
Sindh,BADIN,BADIN,??????,106,85,53,38,,,,,2,,1,,24.6459,68.8467
Sindh,BADIN,BADIN,??????,76,56,16,11,,,,,,,2,,24.6459,68.8467
Sindh,BADIN,BADIN,???? ??? 1,188,140,53,31,2,,,1,2,,1,,24.6459,68.8467
Sindh,BADIN,BADIN,???? ??? 2,139,104,36,12,,,,,,,,,24.6459,68.8467
Sindh,BADIN,BADIN,???? ??? 3,90,59,29,11,,,,,1,,,,24.6459,68.8467
Sindh,BADIN,BADIN,????,35,35,13,11,,,,,,,,,24.6459,68.8467
Sindh,BADIN,BADIN,??????,176,120,48,36,,,,,4,,,2,24.6459,68.8467
Sindh,BADIN,BADIN,?????,75,78,23,19,,,,,,,,,24.6459,68.8467
Sindh,BADIN,BADIN,???? ????,108,76,25,24,,,,,1,,,,24.6459,68.8467
Sindh,BADIN,BADIN,???????,65,65,20,12,,,,,2,,,,24.6459,68.8467
Sindh,BADIN,BADIN,?????,35,28,9,7,,,,,,,1,,24.6459,68.8467
Sindh,BADIN,BADIN,?????,37,39,9,6,,,,,,,,,24.6459,68.8467
Sindh,BADIN,BADIN,???????,70,76,21,26,1,,,,3,,,,24.6459,68.8467
Sindh,BADIN,BADIN,??????,60,21,14,2,,,,,,,,,24.6459,68.8467
Sindh,BADIN,BADIN,??????,123,101,33,19,2,,2,,2,1,2,,24.6459,68.8467
Sindh,BADIN,BADIN,????? ????? ???? ???,390,389,125,126,5,,,,15,,7,,24.6459,68.8467
Sindh,BADIN,BADIN,????? ????? ????,417,368,142,117,2,,,,11,1,2,,24.6459,68.8467
Sindh,BADIN,BADIN,?????,2,5,1,1,,,,,,,,,24.6459,68.8467
Sindh,BADIN,BADIN,?????,111,89,26,14,,,,,,,,,24.6459,68.8467
Sindh,BADIN,BADIN,???? ??? ???,126,83,31,26,,,,,,,,,24.6459,68.8467
Sindh,BADIN,BADIN,?????,104,104,28,14,,,,,1,,,,24.6459,68.8467
Sindh,BADIN,BADIN,??????,9,6,1,1,,,,,,,,,24.6459,68.8467
Sindh,BADIN,BADIN,??????,36,48,11,18,,,,,1,,3,,24.6459,68.8467
Sindh,BADIN,BADIN,???,42,20,5,6,,,,,1,,,,24.6459,68.8467
Sindh,BADIN,BADIN,???,47,21,4,6,,,,,,,,,24.6459,68.8467
Sindh,BADIN,BADIN,??? ????,60,40,21,13,1,,,,4,,,,24.6459,68.8467
Sindh,BADIN,BADIN,???????,149,122,34,23,,,,,2,,,,24.6459,68.8467
Sindh,BADIN,BADIN,????????,417,317,112,70,,,,,4,,4,,24.6459,68.8467
Sindh,BADIN,BADIN,???????,136,104,35,22,,,,,1,,,,24.6459,68.8467
Sindh,BADIN,BADIN,??????,73,65,12,8,,,,,1,,1,,24.6459,68.8467
Sindh,BADIN,BADIN,???,71,31,20,6,1,,,,1,,,,24.6459,68.8467
Sindh,BADIN,BADIN,???? ???,46,27,19,11,1,,,,1,,,,24.6459,68.8467
Sindh,BADIN,BADIN,????,80,55,20,12,2,,,,3,,,,24.6459,68.8467
Sindh,BADIN,BADIN,???????,175,129,53,40,2,,,1,6,,6,,24.6459,68.8467
Sindh,BADIN,BADIN,???????,65,65,15,21,,,,,,,,,24.6459,68.8467
Sindh,BADIN,BADIN,??????,49,51,19,16,,,,,,,,3,24.6459,68.8467
Sindh,BADIN,BADIN,???????,144,108,48,27,,,,,5,,2,,24.6459,68.8467
Sindh,BADIN,BADIN,???????,39,26,12,9,,,,,,,,,24.6459,68.8467
Sindh,BADIN,BADIN,???,19,25,6,3,,,,,,,1,,24.6459,68.8467
Sindh,BADIN,BADIN,?????,113,77,9,13,,,,,,,,,24.6459,68.8467
Sindh,BADIN,BADIN,????,10,7,4,1,,,,,,,,,24.6459,68.8467
Sindh,BADIN,BADIN,??????,115,109,41,20,,,,,4,,,,24.6459,68.8467
Sindh,BADIN,BADIN,??????,283,257,101,68,3,,,,12,,5,,24.6459,68.8467
Sindh,BADIN,BADIN,???,30,21,5,3,,,,,,,,1,24.6459,68.8467
Sindh,BADIN,BADIN,???????,49,45,10,8,,,,,,,,,24.6459,68.8467
Sindh,BADIN,BADIN,?????????,65,74,19,20,,,,,1,,3,,24.6459,68.8467
Sindh,BADIN,BADIN,???,52,46,17,13,,,,,,,,,24.6459,68.8467
Sindh,BADIN,BADIN,?????,1,2,,,,,,,,,,,24.6459,68.8467
Sindh,BADIN,BADIN,????,49,38,12,9,,,,,1,,1,,24.6459,68.8467
Sindh,BADIN,BADIN,???? (????),82,86,18,18,,,1,,3,,2,,24.6459,68.8467
Sindh,BADIN,BADIN,??? ???,183,155,34,21,,,,,,,,,24.6459,68.8467
Sindh,BADIN,BADIN,??????,176,135,46,41,,,,,2,,1,,24.6459,68.8467
Sindh,BADIN,BADIN,?????,69,60,22,13,,,,,3,,,,24.6459,68.8467
Sindh,BADIN,BADIN,????????,53,45,13,8,,,,,,,,,24.6459,68.8467
Sindh,BADIN,BADIN,????,13,8,3,,,,,,1,,,,24.6459,68.8467
Sindh,BADIN,BADIN,???? ???,126,98,24,15,1,,,,1,,,,24.6459,68.8467
Sindh,BADIN,BADIN,??????,266,190,59,32,,,,,,,2,,24.6459,68.8467
Sindh,BADIN,BADIN,???,60,54,15,12,,,,,1,,1,,24.6459,68.8467
Sindh,BADIN,BADIN,???,92,78,29,26,,,,,1,,,,24.6459,68.8467
Sindh,BADIN,BADIN,????,14,9,1,1,,,,,,,,,24.6459,68.8467
Sindh,BADIN,BADIN,????,68,67,18,18,2,,,,5,,,,24.6459,68.8467
Sindh,BADIN,BADIN,?????,21,26,7,6,,,,,,,,,24.6459,68.8467
Sindh,BADIN,GOLARCHI - S.F.RAHU,?????,108,101,28,28,2,,,,2,,,,24.6459,68.8467
Sindh,BADIN,GOLARCHI - S.F.RAHU,????,85,81,20,19,,,,,,,,,24.6459,68.8467
Sindh,BADIN,GOLARCHI - S.F.RAHU,???? ???? ???? 1,20,30,4,11,,,,,,,,,24.6459,68.8467
Sindh,BADIN,GOLARCHI - S.F.RAHU,???? ???? ???? 4,23,9,7,2,,,,,,,,,24.6459,68.8467
Sindh,BADIN,GOLARCHI - S.F.RAHU,???? ???? ???? 5,18,15,2,2,,,,,,,,,24.6459,68.8467
Sindh,BADIN,GOLARCHI - S.F.RAHU,???? ???? ???? 6,,,,,,,,,,,,,24.6459,68.8467
Sindh,BADIN,GOLARCHI - S.F.RAHU,???? ???? ????2,27,18,10,5,,,,,,,,,24.6459,68.8467
Sindh,BADIN,GOLARCHI - S.F.RAHU,???? ???? ????3,5,3,1,2,,,,,,,,,24.6459,68.8467
Sindh,BADIN,GOLARCHI - S.F.RAHU,??????,8,4,1,2,,,,,,,,,24.6459,68.8467
Sindh,BADIN,GOLARCHI - S.F.RAHU,?????,177,136,44,21,,,,,4,,,,24.6459,68.8467
Sindh,BADIN,GOLARCHI - S.F.RAHU,????,86,80,30,21,,,,,4,,,,24.6459,68.8467
Sindh,BADIN,GOLARCHI - S.F.RAHU,???? ???? 1,157,147,56,54,,,1,,4,,1,,24.6459,68.8467
Sindh,BADIN,GOLARCHI - S.F.RAHU,???? ???? 2,28,37,6,8,1,,,,2,,,,24.6459,68.8467
Sindh,BADIN,GOLARCHI - S.F.RAHU,???,56,61,9,22,,,,,1,,1,,24.6459,68.8467
Sindh,BADIN,GOLARCHI - S.F.RAHU,????????,20,8,5,3,,,,,,,,,24.6459,68.8467
Sindh,BADIN,GOLARCHI - S.F.RAHU,??????,54,49,24,15,1,,,,4,,1,,24.6459,68.8467
Sindh,BADIN,GOLARCHI - S.F.RAHU,?????,246,180,82,57,,,,,4,,1,,24.6459,68.8467
Sindh,BADIN,GOLARCHI - S.F.RAHU,???????,192,152,70,52,1,1,,,7,3,2,,24.6459,68.8467
Sindh,BADIN,GOLARCHI - S.F.RAHU,???????,4,4,,2,,,,,,,2,,24.6459,68.8467
Sindh,BADIN,GOLARCHI - S.F.RAHU,????,28,32,13,12,,,,,,,,,24.6459,68.8467
Sindh,BADIN,GOLARCHI - S.F.RAHU,???? ???? 1,55,62,16,26,2,,1,,4,,4,,24.6459,68.8467
Sindh,BADIN,GOLARCHI - S.F.RAHU,???? ???? 2,38,43,10,11,,,,,2,,2,,24.6459,68.8467
Sindh,BADIN,GOLARCHI - S.F.RAHU,???? ???? 3,55,63,25,24,1,,1,,4,1,2,,24.6459,68.8467
Sindh,BADIN,GOLARCHI - S.F.RAHU,???? ???? 4,45,44,19,18,,,,,1,,1,,24.6459,68.8467
Sindh,BADIN,GOLARCHI - S.F.RAHU,???? ???? 5,216,208,86,79,,,,,7,,5,,24.6459,68.8467
Sindh,BADIN,GOLARCHI - S.F.RAHU,???? ???? 6,27,28,11,15,,,,,1,,,,24.6459,68.8467
Sindh,BADIN,GOLARCHI - S.F.RAHU,???????,67,35,16,10,,,,,,1,,,24.6459,68.8467
Sindh,BADIN,GOLARCHI - S.F.RAHU,??????,14,13,2,,,,,,,,,,24.6459,68.8467
Sindh,BADIN,GOLARCHI - S.F.RAHU,???,27,11,9,4,,,,,,,,,24.6459,68.8467
Sindh,BADIN,GOLARCHI - S.F.RAHU,??????,176,145,41,38,,,,,2,,1,,24.6459,68.8467
Sindh,BADIN,GOLARCHI - S.F.RAHU,??,54,18,17,5,,,,,,,,,24.6459,68.8467
Sindh,BADIN,GOLARCHI - S.F.RAHU,??? ???? 1,103,83,41,23,,,,,9,1,3,,24.6459,68.8467
Sindh,BADIN,GOLARCHI - S.F.RAHU,??? ???? 2,11,5,1,,,,,,,,,,24.6459,68.8467
Sindh,BADIN,GOLARCHI - S.F.RAHU,??? ???? 3,36,31,15,11,,,,,,,2,,24.6459,68.8467
Sindh,BADIN,GOLARCHI - S.F.RAHU,??? ???? 4,2,1,1,,,,,,,,,,24.6459,68.8467
Sindh,BADIN,GOLARCHI - S.F.RAHU,??? ???? 5,2,2,1,1,,,,,,,1,,24.6459,68.8467
Sindh,BADIN,GOLARCHI - S.F.RAHU,??????,105,76,21,12,,,,,,,1,,24.6459,68.8467
Sindh,BADIN,GOLARCHI - S.F.RAHU,????,3,5,1,,,,,,,,,,24.6459,68.8467
Sindh,BADIN,GOLARCHI - S.F.RAHU,??????,2,1,2,,,,,,,,,,24.6459,68.8467
Sindh,BADIN,GOLARCHI - S.F.RAHU,???????,35,37,7,9,,,,,,,,,24.6459,68.8467
Sindh,BADIN,GOLARCHI - S.F.RAHU,???? ???? ???????? ?????,"1,527","1,585",602,614,15,,12,,64,2,67,,24.6459,68.8467
Sindh,BADIN,GOLARCHI - S.F.RAHU,???????,74,58,23,17,,,,,2,,,,24.6459,68.8467
Sindh,BADIN,GOLARCHI - S.F.RAHU,???? ????,89,75,35,21,,,,,1,,,,24.6459,68.8467
Sindh,BADIN,GOLARCHI - S.F.RAHU,??? ???,97,83,23,18,,,,,,,2,,24.6459,68.8467
Sindh,BADIN,GOLARCHI - S.F.RAHU,???????,15,11,4,1,,,,,1,,,,24.6459,68.8467
Sindh,BADIN,GOLARCHI - S.F.RAHU,??????,66,51,22,13,,,1,,3,,2,,24.6459,68.8467
Sindh,BADIN,GOLARCHI - S.F.RAHU,????,60,38,20,5,1,,,,4,,,,24.6459,68.8467
Sindh,BADIN,GOLARCHI - S.F.RAHU,????,37,24,7,1,,,,,,,,,24.6459,68.8467
Sindh,BADIN,GOLARCHI - S.F.RAHU,??????,264,218,60,56,3,,,,5,,1,,24.6459,68.8467
Sindh,BADIN,GOLARCHI - S.F.RAHU,???? ?????,157,123,56,45,,,1,,2,,8,,24.6459,68.8467
Sindh,BADIN,GOLARCHI - S.F.RAHU,????? ???,47,40,15,8,,,,,,,1,,24.6459,68.8467
Sindh,BADIN,GOLARCHI - S.F.RAHU,????,31,25,14,5,,,,,2,,,,24.6459,68.8467
Sindh,BADIN,GOLARCHI - S.F.RAHU,??????,10,1,7,,,,,,1,,,,24.6459,68.8467
Sindh,BADIN,GOLARCHI - S.F.RAHU,?????,58,36,14,7,1,,,,2,,,,24.6459,68.8467
Sindh,BADIN,GOLARCHI - S.F.RAHU,???? ????,71,27,9,5,,,,,,,,,24.6459,68.8467
Sindh,BADIN,GOLARCHI - S.F.RAHU,????? ?????,27,23,9,6,,,,,,,,,24.6459,68.8467
Sindh,BADIN,GOLARCHI - S.F.RAHU,???,9,8,5,,,,,,1,,,,24.6459,68.8467
Sindh,BADIN,GOLARCHI - S.F.RAHU,??????,373,335,137,129,3,,2,,24,,15,,24.6459,68.8467
Sindh,BADIN,GOLARCHI - S.F.RAHU,?????,54,26,8,3,,,,,,,,,24.6459,68.8467
Sindh,BADIN,GOLARCHI - S.F.RAHU,????,34,24,7,5,,,,,,,,,24.6459,68.8467
Sindh,BADIN,GOLARCHI - S.F.RAHU,?????,43,45,12,9,,,,,3,,1,,24.6459,68.8467
Sindh,BADIN,GOLARCHI - S.F.RAHU,???????,29,11,8,2,,,,,1,,,,24.6459,68.8467
Sindh,BADIN,GOLARCHI - S.F.RAHU,?????,169,107,60,32,,,,,2,,2,,24.6459,68.8467
Sindh,BADIN,GOLARCHI - S.F.RAHU,?????,8,3,3,,,,,,,,,,24.6459,68.8467
Sindh,BADIN,GOLARCHI - S.F.RAHU,?????,26,25,5,7,1,,,,1,,,,24.6459,68.8467
Sindh,BADIN,GOLARCHI - S.F.RAHU,????,9,13,1,5,,,,,,,,,24.6459,68.8467
Sindh,BADIN,GOLARCHI - S.F.RAHU,??????,18,15,7,5,,,1,,,,1,,24.6459,68.8467
Sindh,BADIN,GOLARCHI - S.F.RAHU,????????,236,164,41,25,,,,,1,,,,24.6459,68.8467
Sindh,BADIN,GOLARCHI - S.F.RAHU,??????,58,42,18,16,,,,,,,,,24.6459,68.8467
Sindh,BADIN,GOLARCHI - S.F.RAHU,???,47,53,14,14,,,,,,,,,24.6459,68.8467
Sindh,BADIN,GOLARCHI - S.F.RAHU,???? ?????,58,48,18,16,,,,,,,,1,24.6459,68.8467
Sindh,BADIN,GOLARCHI - S.F.RAHU,????? ??,87,49,23,6,1,,,,2,,,,24.6459,68.8467
Sindh,BADIN,GOLARCHI - S.F.RAHU,???????,27,16,3,1,,,,,,,,,24.6459,68.8467
Sindh,BADIN,GOLARCHI - S.F.RAHU,???,31,8,9,2,,,,,,,,,24.6459,68.8467
Sindh,BADIN,GOLARCHI - S.F.RAHU,????,105,61,27,15,,,,,1,,1,,24.6459,68.8467
Sindh,BADIN,GOLARCHI - S.F.RAHU,???? ?????????,431,393,140,102,,,,,7,,7,,24.6459,68.8467
Sindh,BADIN,GOLARCHI - S.F.RAHU,????? ????,107,82,23,20,,,,,,,,,24.6459,68.8467
Sindh,BADIN,GOLARCHI - S.F.RAHU,???????,22,29,5,10,,,1,,,,1,,24.6459,68.8467
Sindh,BADIN,GOLARCHI - S.F.RAHU,???????,33,25,6,3,,,,,,,,,24.6459,68.8467
Sindh,BADIN,GOLARCHI - S.F.RAHU,????,25,12,9,4,,,,,1,,,,24.6459,68.8467
Sindh,BADIN,GOLARCHI - S.F.RAHU,????? ???? 1/2,12,9,1,1,,,,,,,,,24.6459,68.8467
Sindh,BADIN,GOLARCHI - S.F.RAHU,????? ???? 2/2,19,11,3,,,,,,,,,,24.6459,68.8467
Sindh,BADIN,GOLARCHI - S.F.RAHU,??????,60,70,20,23,1,,,,2,,3,,24.6459,68.8467
Sindh,BADIN,GOLARCHI - S.F.RAHU,??????? ????,182,205,78,66,1,,,,7,,5,,24.6459,68.8467
Sindh,BADIN,GOLARCHI - S.F.RAHU,???? ???,14,17,2,2,,,,,,,1,,24.6459,68.8467
Sindh,BADIN,GOLARCHI - S.F.RAHU,??????? ??????,77,70,16,15,,,,,,,,,24.6459,68.8467
Sindh,BADIN,GOLARCHI - S.F.RAHU,?????,40,30,9,9,,,,,,,,,24.6459,68.8467
Sindh,BADIN,GOLARCHI - S.F.RAHU,????? ???? 1,13,13,2,4,,,,,,,,,24.6459,68.8467
Sindh,BADIN,GOLARCHI - S.F.RAHU,????? ???? 2,9,19,2,4,,,,,,,,,24.6459,68.8467
Sindh,BADIN,GOLARCHI - S.F.RAHU,????? ???? 3,41,38,18,17,,,,,3,,2,,24.6459,68.8467
Sindh,BADIN,GOLARCHI - S.F.RAHU,????? ???? 4,63,56,19,17,,,,,4,,,,24.6459,68.8467
Sindh,BADIN,GOLARCHI - S.F.RAHU,????? ???? 5,19,9,4,3,,,1,,,1,1,,24.6459,68.8467
Sindh,BADIN,GOLARCHI - S.F.RAHU,?????,34,14,8,6,,,,,,,,,24.6459,68.8467
Sindh,BADIN,GOLARCHI - S.F.RAHU,??????? ??? ???? 1/4,16,3,5,,,,,,1,,,,24.6459,68.8467
Sindh,BADIN,GOLARCHI - S.F.RAHU,??????? ??? ???? 1/5,16,13,6,5,,,,,,,,,24.6459,68.8467
Sindh,BADIN,GOLARCHI - S.F.RAHU,??????? ??? ???? 1/6,103,75,37,22,,,,,1,1,5,,24.6459,68.8467
Sindh,BADIN,GOLARCHI - S.F.RAHU,??????? ??? ???? 1/7,6,6,4,1,,,,,1,,,,24.6459,68.8467
Sindh,BADIN,GOLARCHI - S.F.RAHU,????,130,101,33,23,,,,,2,,,,24.6459,68.8467
Sindh,BADIN,GOLARCHI - S.F.RAHU,????,72,68,22,22,2,,,,4,,2,1,24.6459,68.8467
Sindh,BADIN,MATLI,??????,68,59,29,17,,,,,3,,,,24.6459,68.8467
Sindh,BADIN,MATLI,?????,235,207,75,61,2,,4,,3,,6,,24.6459,68.8467
Sindh,BADIN,MATLI,????????,410,414,76,95,,,,,5,,7,,24.6459,68.8467
Sindh,BADIN,MATLI,???? ????,386,281,116,87,3,,1,,21,,15,,24.6459,68.8467
Sindh,BADIN,MATLI,??????,50,24,14,6,,,,,,,,,24.6459,68.8467
Sindh,BADIN,MATLI,????,362,319,102,79,2,,2,,11,,5,,24.6459,68.8467
Sindh,BADIN,MATLI,??????,73,57,15,15,,,,,,,1,,24.6459,68.8467
Sindh,BADIN,MATLI,??????????,238,210,77,49,,,,,1,,,,24.6459,68.8467
Sindh,BADIN,MATLI,???? ?????,37,15,12,7,,,,,,,1,,24.6459,68.8467
Sindh,BADIN,MATLI,???? ????,91,66,23,18,,,,,3,,,,24.6459,68.8467
Sindh,BADIN,MATLI,??????,38,22,8,6,,,,,,,,,24.6459,68.8467
Sindh,BADIN,MATLI,???,77,87,28,27,1,,4,,6,,4,,24.6459,68.8467
Sindh,BADIN,MATLI,?????,92,80,34,24,1,,,,1,,,,24.6459,68.8467
Sindh,BADIN,MATLI,??????,79,63,13,10,,,,,,,,,24.6459,68.8467
Sindh,BADIN,MATLI,????????,91,94,22,29,1,,,1,2,,4,,24.6459,68.8467
Sindh,BADIN,MATLI,???? ??? ???,171,135,34,24,,,,,,,,,24.6459,68.8467
Sindh,BADIN,MATLI,???,128,78,40,16,1,,,,2,,1,,24.6459,68.8467
Sindh,BADIN,MATLI,??????,97,76,26,13,2,,,,2,,,,24.6459,68.8467
Sindh,BADIN,MATLI,?????,34,41,4,9,,,,,,,,,24.6459,68.8467
Sindh,BADIN,MATLI,????,214,158,73,45,,,,,12,1,4,,24.6459,68.8467
Sindh,BADIN,MATLI,??? ????,23,15,7,2,,,,,,,,,24.6459,68.8467
Sindh,BADIN,MATLI,??????,433,423,135,115,2,1,1,,7,,8,,24.6459,68.8467
Sindh,BADIN,MATLI,????????,289,200,101,38,2,1,,,19,,3,,24.6459,68.8467
Sindh,BADIN,MATLI,????? ????,123,95,39,21,,,,,,,,,24.6459,68.8467
Sindh,BADIN,MATLI,??????,66,62,21,20,3,,,,7,,,,24.6459,68.8467
Sindh,BADIN,MATLI,?????,185,121,61,34,,,,,15,,9,,24.6459,68.8467
Sindh,BADIN,MATLI,???,41,48,18,20,,,1,,,,4,,24.6459,68.8467
Sindh,BADIN,MATLI,???????,173,144,66,51,,,,,10,,13,,24.6459,68.8467
Sindh,BADIN,MATLI,????,54,38,15,4,,,,,,,,,24.6459,68.8467
Sindh,BADIN,MATLI,??????,83,60,25,11,1,,,,1,,1,,24.6459,68.8467
Sindh,BADIN,MATLI,?????,172,150,25,34,,,,,1,,,,24.6459,68.8467
Sindh,BADIN,MATLI,?????,20,13,2,4,,,,,,,,,24.6459,68.8467
